date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:16:30	203774/203774	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2015:16:31%20GMT	https://www.facebook.com/login	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/login.html	(from )
22:16:31	824/824	---MCZ	200	added ('OK')	text/plain	date:Fri,%2028%20May%202021%2015:16:31%20GMT	https://www.facebook.com/robots.txt		(from )
22:16:31	200498/200498	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2015:16:32%20GMT	https://www.facebook.com/login?_fb_noscript=1	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/login4964.html	(from https://www.facebook.com/login)
22:16:31	930/930	---MCZ	200	added ('OK')	application/json	date:Fri,%2028%20May%202021%2015:16:32%20GMT	https://www.facebook.com/data/manifest/	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/data/manifest/index.html	(from https://www.facebook.com/login)
22:16:31	5607/5607	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yc/l/0,cross/Zk6mNfneq5v.css?_nc_x=Ij3Wp8lg5Kz	D:/Font-End%20Framework/LoginFbPage/static.xx.fbcdn.net/rsrc.php/v3/yc/l/0,cross/Zk6mNfneq5v1f8e.css	(from https://www.facebook.com/login)
22:16:32	18114/18114	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yu/l/0,cross/Lvu41JHRZC_.css?_nc_x=Ij3Wp8lg5Kz	D:/Font-End%20Framework/LoginFbPage/static.xx.fbcdn.net/rsrc.php/v3/yu/l/0,cross/Lvu41JHRZC_1f8e.css	(from https://www.facebook.com/login)
22:16:32	200633/200633	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2015:16:32%20GMT	https://www.facebook.com/login/web/	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/login/web/index.html	(from https://www.facebook.com/login)
22:16:32	13985/13985	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yp/l/0,cross/IlOBL6aM_Kn.css?_nc_x=Ij3Wp8lg5Kz	D:/Font-End%20Framework/LoginFbPage/static.xx.fbcdn.net/rsrc.php/v3/yp/l/0,cross/IlOBL6aM_Kn1f8e.css	(from https://www.facebook.com/login)
22:16:32	14101/14101	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yu/l/0,cross/OBg6eMg8yHk.css?_nc_x=Ij3Wp8lg5Kz	D:/Font-End%20Framework/LoginFbPage/static.xx.fbcdn.net/rsrc.php/v3/yu/l/0,cross/OBg6eMg8yHk1f8e.css	(from https://www.facebook.com/login)
22:16:32	2252/2252	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/8SiSeIFbO9X.css?_nc_x=Ij3Wp8lg5Kz	D:/Font-End%20Framework/LoginFbPage/static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/8SiSeIFbO9X1f8e.css	(from https://www.facebook.com/login)
22:16:33	22727/22727	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/swISLSA16YO.css?_nc_x=Ij3Wp8lg5Kz	D:/Font-End%20Framework/LoginFbPage/static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/swISLSA16YO1f8e.css	(from https://www.facebook.com/login)
22:16:33	18691/18691	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/ye/l/0,cross/kNFDXNPRIMn.css?_nc_x=Ij3Wp8lg5Kz	D:/Font-End%20Framework/LoginFbPage/static.xx.fbcdn.net/rsrc.php/v3/ye/l/0,cross/kNFDXNPRIMn1f8e.css	(from https://www.facebook.com/login)
22:16:33	320779/320779	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/l_MLuLodOUt.js?_nc_x=Ij3Wp8lg5Kz	D:/Font-End%20Framework/LoginFbPage/static.xx.fbcdn.net/rsrc.php/v3/yy/r/l_MLuLodOUt1f8e.js	(from https://www.facebook.com/login)
22:16:34	253804/253804	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2015:16:34%20GMT	https://www.facebook.com/r.php?locale=vi_VN&display=page	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/r1a0b.html	(from https://www.facebook.com/login)
22:16:34	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2028%20May%202021%2015:16:34%20GMT	https://www.facebook.com/recover/initiate/?ars=facebook_login	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/recover/initiate/index9acb.html	(from https://www.facebook.com/login)
22:16:35	253035/253035	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2015:16:35%20GMT	https://www.facebook.com/r.php	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/r.html	(from https://www.facebook.com/login)
22:16:35	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2028%20May%202021%2015:16:35%20GMT	https://www.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/ad_campaign/landing8031.php	(from https://www.facebook.com/login)
22:16:35	200513/200513	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2015:16:36%20GMT	https://www.facebook.com/login/	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/login/index.html	(from https://www.facebook.com/login)
22:16:35	270278/270278	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2015:16:36%20GMT	https://www.facebook.com/privacy/explanation	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/privacy/explanation.html	(from https://www.facebook.com/login)
22:16:36	199707/199707	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2015:16:36%20GMT	https://www.facebook.com/lite/	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/lite/index.html	(from https://www.facebook.com/login)
22:16:36	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2028%20May%202021%2015:16:36%20GMT	https://www.facebook.com/directory/people/	D:/Font-End%20Framework/LoginFbPage/www.facebook.com/directory/people/index.html	(from https://www.facebook.com/login)
